Gene,TCGA-02-0047,TCGA-02-0055,TCGA-02-2486,TCGA-06-0125,TCGA-06-0130,TCGA-06-0138,TCGA-06-0139,TCGA-06-0141,TCGA-06-0152,TCGA-06-0157,TCGA-06-0158,TCGA-06-0168,TCGA-06-0171,TCGA-06-0174,TCGA-06-0184,TCGA-06-0187,TCGA-06-0190,TCGA-06-0210,TCGA-06-0211,TCGA-06-0219,TCGA-06-0238,TCGA-06-0644,TCGA-06-0645,TCGA-06-0646,TCGA-06-0649,TCGA-06-0686,TCGA-06-0743,TCGA-06-0744,TCGA-06-0745,TCGA-06-0747,TCGA-06-0749,TCGA-06-0750,TCGA-06-0882,TCGA-06-1804,TCGA-06-2557,TCGA-06-2558,TCGA-06-2559,TCGA-06-2562,TCGA-06-2565,TCGA-06-2567,TCGA-06-5408,TCGA-06-5410,TCGA-06-5411,TCGA-06-5412,TCGA-06-5418,TCGA-06-5856,TCGA-08-0386,TCGA-12-0616,TCGA-12-0618,TCGA-12-0619,TCGA-12-0821,TCGA-12-3650,TCGA-12-3652,TCGA-12-3653,TCGA-12-5295,TCGA-12-5299,TCGA-14-0736,TCGA-14-0781,TCGA-14-0787,TCGA-14-0789,TCGA-14-0790,TCGA-14-0817,TCGA-14-0871,TCGA-14-1034,TCGA-14-1402,TCGA-14-1823,TCGA-14-1825,TCGA-14-2554,TCGA-15-0742,TCGA-16-0846,TCGA-16-1045,TCGA-19-0957,TCGA-19-1389,TCGA-19-1390,TCGA-19-1787,TCGA-19-2620,TCGA-19-2624,TCGA-19-2625,TCGA-19-5960,TCGA-26-5135,TCGA-26-5136,TCGA-27-1830,TCGA-27-1831,TCGA-27-1832,TCGA-27-1834,TCGA-27-1835,TCGA-27-1837,TCGA-27-2519,TCGA-27-2523,TCGA-27-2524,TCGA-27-2526,TCGA-27-2528,TCGA-28-1747,TCGA-28-5204,TCGA-28-5207,TCGA-28-5208,TCGA-28-5213,TCGA-28-5215,TCGA-28-5218,TCGA-28-5220,TCGA-32-1970,TCGA-32-1980,TCGA-32-1982,TCGA-32-2615,TCGA-32-2616,TCGA-32-2632,TCGA-32-2638,TCGA-32-5222,TCGA-41-2571,TCGA-41-2572,TCGA-41-3915,TCGA-41-4097,TCGA-41-5651,TCGA-76-4925,TCGA-76-4926,TCGA-76-4928,TCGA-76-4929,TCGA-76-4931
ebv-miR-BART10,5.816043511,5.795185101,5.763941242,5.845481106,5.818442388,5.790977158,5.817689131,6.134573857,5.865183368,5.83638494,5.78073335,5.808939801,5.804826688,5.865437375,5.799165764,5.749001978,5.817247916,5.97726003,5.831517115,5.827952133,5.812828715,5.784661541,5.874680819,5.747397986,5.779114841,5.75624608,5.895740931,5.860060101,5.7893962,5.812805307,5.79870133,5.791181835,5.8149529,5.826099761,5.848216877,5.824023361,5.857348679,5.794913979,5.859331179,5.808285835,5.720880892,5.724834469,5.747790124,5.739020719,5.85612785,5.854309405,5.880228479,5.962728613,5.741255889,5.787835278,5.779757752,5.825949486,5.798125442,5.889540297,5.778406089,5.830774453,5.736184817,5.756715622,5.803195611,5.773254225,5.830585251,5.799322656,5.884012827,5.823062358,5.887383845,5.795898519,5.802136045,5.789239659,5.796859921,5.817092075,5.769573183,5.831013842,5.863805544,5.883020691,5.81304468,5.786020221,5.807731333,5.843721881,6.469769541,5.805122445,5.851271941,5.793140941,5.795831439,5.809010206,5.777322496,5.845265213,5.790800044,5.814155298,5.898114781,5.776304531,5.764419389,5.812550425,5.830084135,5.79175582,5.75759836,5.819037486,5.89952912,5.779102545,5.821337833,5.842209547,5.867610524,5.695903523,5.843047029,5.860251035,5.802918985,5.834812686,5.811993566,5.797344318,5.834261717,5.905694396,5.791805306,5.937769315,5.786764078,5.852377,5.971116425,5.870649422,5.694645126,5.781066494
ebv-miR-BART11-3p,6.969854641,5.932401975,6.024584414,5.907886258,5.868000552,6.080603112,6.262063872,6.24447419,6.061043962,6.302747866,5.952971016,5.928429823,6.051161944,6.028288215,6.132206952,6.09471945,6.002430932,5.949352036,5.98236361,5.995971114,6.423793134,6.207277591,5.773757603,6.280832318,6.041795439,5.857261665,5.921692774,6.051041736,5.983657841,5.870196215,6.093944057,6.211481431,6.161558982,5.940990699,6.076450857,6.056765145,6.141263927,5.994655793,5.941708417,6.044323992,6.023432616,5.914116147,5.928492868,5.959647275,6.01698894,6.024604969,5.764204512,5.760896848,6.150375101,6.07985409,5.995720758,6.068632405,6.037147116,5.968103681,6.005709264,6.028573891,6.237968438,5.942961125,6.08224414,5.816206743,6.066891901,5.9023404,6.171279441,6.545280003,5.927129813,6.243294026,5.990113254,6.006556674,6.038551213,6.135761274,6.49708163,5.963034842,6.300544657,6.311220672,6.07634634,6.059908657,5.962560224,5.944189513,6.006268505,5.995080872,6.074166307,6.163336744,6.042916433,6.007859171,6.325902163,5.989020548,6.143382723,5.988579619,5.97851816,5.967051862,6.011165327,6.039861898,6.024588888,6.096477041,6.012953269,6.061619354,6.03479274,6.057050896,5.978755238,6.050986712,6.010434175,5.869035969,5.986973773,6.069745071,6.101907983,6.082506238,6.009763097,6.072471958,5.991459823,6.153588786,5.977554432,5.985771763,5.921127535,5.996057207,6.08535356,5.986952764,5.896506786,5.847873476
ebv-miR-BART11-5p,5.735373849,5.768690656,5.799922168,5.696911214,5.712077573,5.686710817,5.793730969,5.728440804,5.747613563,5.683440722,5.73222685,5.750077399,5.708353905,5.78146995,5.686661315,5.693924926,5.821748899,5.878774937,5.756061695,5.815268465,5.713798286,5.730382844,5.734617223,5.702225853,5.712930183,5.713810866,5.741823929,5.752147044,5.737347906,5.745306273,5.744773649,5.703842231,5.734264287,5.672762834,5.74382187,5.730328094,5.720683397,5.709836329,5.730962193,5.739648243,5.672244063,5.676444971,5.676686594,5.726656902,5.741530651,5.70781089,5.761321297,5.742829681,5.724035016,5.76811593,5.71873574,5.719965646,5.713174439,5.79443198,5.725889666,5.757652936,5.753464666,5.690020725,5.735948394,5.715290743,5.734844731,5.709248909,5.768187054,5.705292738,5.688844323,5.767214841,5.74508835,5.735861459,5.75679229,5.746725716,5.722391028,5.693269238,5.731551098,5.774079326,5.743717685,5.735004968,5.792839874,5.799300384,5.728628671,5.731862075,5.786973545,5.724316253,5.709129693,5.721872727,5.731763392,5.802025248,5.713163848,5.805149818,5.78666492,5.726652995,5.756411729,5.716658383,5.773897751,5.753083865,5.792177944,5.754561618,5.773911193,5.77150297,5.805180612,5.785147318,5.72337067,5.721754202,5.719123089,5.738973695,5.708066584,5.684359306,5.754430733,5.827282236,5.717169453,5.866547485,5.730791225,5.778629804,5.699927208,5.762334028,5.755009759,5.786809662,5.6683405,5.663846996
ebv-miR-BART12,5.809515694,5.799357943,5.780911748,5.863558744,5.793236532,5.75487488,6.014689828,6.38076308,5.890950341,5.76376094,5.78812507,5.771743574,5.76014898,5.863614052,5.825691795,5.728068025,5.878886589,6.093407185,5.867638779,5.824308789,5.792726883,5.762350916,5.908573732,5.724984991,5.764602984,5.817665838,5.828485856,5.830847207,5.820130352,5.819363052,5.796502688,5.784577341,5.795502127,5.748555981,5.800529267,5.759814462,5.845418844,5.789502813,5.927379679,5.816494766,5.636163542,5.727604243,5.681807712,5.749347983,5.797807868,5.847967797,6.098117277,5.957426887,5.72772439,5.764674057,5.800337153,5.789584139,5.792671665,5.914760793,5.857414772,5.771754496,5.777273057,5.79907623,5.809444907,5.809943009,5.852647394,5.778907099,5.832395815,5.835930496,5.792094288,5.783023243,5.784185801,5.783720898,5.836925843,5.765406549,5.770980426,5.771576576,5.774062612,5.851065926,5.770606769,5.790266697,5.825975652,5.881498555,6.795888581,5.743093247,6.025822973,5.822267968,5.798480992,5.827785951,5.781890365,5.874668732,5.793716775,5.81298699,5.902708646,5.808714426,5.80988737,5.777300112,5.814415282,5.717570959,5.799129906,5.797189946,6.187630728,5.84315927,5.799816374,5.879108063,5.836872129,5.677663178,5.791844813,5.79799816,5.776337698,5.786978436,5.843247423,5.791140863,5.774227151,5.869404984,5.819341043,5.844103113,5.730438074,5.878496611,6.050254281,5.786230594,5.734815663,5.789768807
ebv-miR-BART13,10.00979282,8.243790336,8.672661047,7.744210434,8.615097496,7.219124952,9.652301599,8.863512868,8.521762137,7.437916615,8.192864424,8.419980578,7.804921132,7.719005199,7.21584763,7.688338806,8.297375402,9.687529948,7.592678249,7.98022959,9.136186927,8.175588028,8.747900411,7.704334892,8.02790674,7.89259822,8.882308502,9.277174844,8.072110798,8.118843546,7.813624088,7.643865753,7.898704752,8.364235966,7.783132081,7.864926059,8.078244816,8.17122467,8.017866206,7.912441835,7.809968744,8.181104111,7.852304198,8.606749253,8.354637517,8.097670071,8.016887831,9.706376601,6.926075292,7.574433121,7.873749232,8.336886647,8.410078083,7.345205964,8.092949623,7.350539663,7.758822786,8.475098375,7.837944445,7.725418439,8.633614591,7.898632372,9.335711364,8.095596293,9.303727981,7.807308755,8.327936518,7.73858242,7.596989712,7.82099323,8.106154402,7.985730084,8.146118026,7.868026594,7.974908165,7.838489512,7.625536568,8.320085232,7.46018573,7.808219405,7.768532337,8.760345529,8.325760908,8.433936798,8.275575945,8.00083145,8.506964951,7.970780677,7.64446629,8.055832786,7.831846245,8.527550789,7.862844843,7.458470145,7.868935666,7.743416138,10.3749959,7.652310322,7.963359164,8.391122185,8.361752305,7.979873651,9.319610241,8.467671312,8.420526666,8.168633187,8.129231003,8.369389901,8.499714908,10.29001205,7.867461261,8.110424931,7.86543506,8.342351703,8.447519603,8.403092169,8.230237554,7.689905276
ebv-miR-BART1-3p,5.808216432,5.773790835,5.724863595,5.770322358,5.704033184,5.790801929,5.812306166,5.738790617,5.772821957,5.753382944,5.708890656,5.771485499,5.751569199,5.726352944,5.725748076,5.810432949,5.76086394,5.762048991,5.761806026,5.745545825,5.824633572,5.783142596,5.732422329,5.824447038,5.728732446,5.743035375,5.743645315,5.737030956,5.759975855,5.788101879,5.79091994,5.814400064,5.774495782,5.69602633,5.743567894,5.704460874,5.777614597,5.773506067,5.71825216,5.790201603,5.799839824,5.716464835,5.706320592,6.241251063,5.728214889,5.747295497,5.78314187,5.726341982,5.76168122,5.747345946,5.758675093,5.74098743,5.747340237,5.771908028,5.802938595,5.859636471,5.760773445,5.684424076,5.789917242,5.740907713,5.755668281,5.761966054,5.751546824,5.742826079,5.720417486,5.773301967,5.821169215,5.774805559,5.765470596,5.751068392,5.82546672,5.732225035,5.772477447,5.803715085,5.770138192,5.739658625,5.813760731,5.725535397,5.703799769,5.773488291,5.720128797,5.763230427,5.747580905,5.753412324,5.735287284,5.796483714,5.739188793,5.842325597,5.792710219,5.701546464,5.811037457,5.692507765,5.803873443,5.807262906,5.681680973,5.753875234,5.75434358,5.734999141,5.813230968,5.768245415,5.708891161,5.685671631,5.679128457,5.766356353,5.745065239,5.713528619,5.833653285,5.77996816,5.712943737,5.876952742,5.762560942,5.818747307,5.711989256,5.708531301,5.741010945,5.757785776,5.733683838,5.660016963
ebv-miR-BART14-3p,5.847006696,5.805140776,5.812219584,5.746603701,5.829701186,5.785161289,5.779673144,5.786999415,5.822277634,5.752327614,5.777475136,5.74607029,5.765810993,5.8145753,5.776435453,5.733307188,5.833991729,5.81092562,5.769848495,5.805919242,5.770908974,5.763620744,5.837637624,5.707121809,5.748316514,5.73346024,5.833937922,5.851763877,5.746262653,5.803348338,5.780119163,5.714796835,5.773511219,5.785559772,5.782369833,5.785249181,5.762704431,5.810447654,5.767177084,5.783964784,5.67048836,5.705961949,5.728363237,5.750536854,5.7488758,5.8095795,5.921732224,5.883612196,5.716738872,5.79573464,5.779857757,5.807294231,5.788816101,5.897922072,5.853410714,5.788468486,5.740954305,5.744977227,5.736120274,5.776750336,5.790281816,5.755819436,5.814550534,5.849008611,5.857490373,5.771413293,5.794348233,5.801101558,5.765994194,5.845417497,5.732148691,5.803570649,5.74804004,5.80494002,5.775084277,5.776290591,5.818858643,5.798832361,5.732800891,5.83381073,5.77985084,5.823314896,5.771052777,5.768613988,5.76720432,5.799931846,5.811389371,5.821225858,5.786931276,5.749305522,5.772720113,5.81257001,5.797292004,5.774666988,5.807335456,5.778281432,5.811602387,5.836461702,5.823262745,5.853634309,5.768792354,5.736123281,5.81871425,5.813872689,5.747371359,5.77130764,5.782896535,5.850131585,5.836470238,5.807950714,5.774026835,5.83310708,5.734442902,5.758042547,5.853619019,5.784422957,5.707742719,5.699448382
ebv-miR-BART14-5p,5.828863625,5.767613544,5.772698376,5.780161111,5.778462471,5.810511777,5.789744097,5.767206598,5.774011967,5.798760807,5.773102221,5.80526922,5.790322715,5.739473616,5.792407462,5.783810569,5.800019208,5.749909934,5.781341995,5.772799931,5.770073775,5.837972145,5.750409298,5.826224126,5.763298778,5.760235847,5.759784926,5.781923081,5.783904248,5.770110953,5.82832118,5.835509812,5.842106123,5.715582694,5.773510323,5.769477039,5.803840598,5.78463439,5.733350848,5.777008264,5.79417206,5.769790791,5.722391998,5.781620887,5.788767806,5.803473036,5.757991576,5.72610912,5.820667531,5.834898567,5.841693231,5.767594812,5.781487789,5.855219712,5.80139724,5.768206371,5.890198015,5.722859937,5.892254332,5.743997149,5.79852681,5.756666453,5.816276574,5.81758565,5.747973241,5.761169894,5.826774435,5.891648874,5.798759928,5.8039199,5.818439453,5.734479174,5.870006307,5.856057636,5.778218288,5.791551458,5.791860923,5.761467233,5.721232055,5.770497422,5.790192805,5.840828298,5.765416038,5.833522406,5.832390598,5.751524228,5.799669995,5.806061468,5.779913029,5.782330421,5.811634377,5.754278597,5.802268986,5.855517346,5.803492842,5.812569477,5.797655103,5.818466143,5.756321732,5.912634798,5.741063649,5.692809132,5.723613723,5.778227426,5.779479017,5.75362986,5.832295693,5.783301875,5.760214917,5.995492735,5.761531414,5.769482562,5.707850638,5.779060664,5.781469329,5.770906805,5.67554377,5.7040706
ebv-miR-BART15,5.709264712,5.799242582,5.780362777,5.872742154,5.765346412,5.693756173,5.756750921,5.787499198,5.741057117,5.78049401,5.757502825,5.805106475,5.747414377,5.787661949,5.745903575,5.770624331,5.762589238,5.777646621,5.732251825,5.762518822,5.785598139,5.770773726,5.748672511,5.759615034,5.775405079,5.775183843,5.743451593,5.757595937,5.743605714,5.731983512,5.766931638,5.735745701,5.740421437,5.755235128,5.755160862,5.731417864,5.765966994,5.745961183,5.762665745,5.728075732,5.694726723,5.794725254,5.763660609,5.730930882,5.734848159,5.826559497,5.744844232,5.734835187,5.793219124,5.755835149,5.769909655,5.745935713,5.743167791,5.790833693,5.782617258,5.719708576,5.771513326,5.728619979,5.782660143,5.782449486,5.739024554,5.740670126,5.765725344,5.728336742,5.730835179,5.896805948,5.771891187,5.811320095,5.771042374,5.747818708,5.780066381,5.720240699,5.722087939,5.793797094,5.741106383,5.734044112,5.799177418,5.830129394,5.65588769,5.718780438,5.732585727,5.780100838,5.722650393,5.708158113,5.730823743,5.878272573,5.732719712,5.796154228,5.744574268,5.757377539,5.784700864,5.697611627,5.775838619,5.776943982,5.756743652,5.786638301,5.887279167,5.730859649,5.821697818,5.839976165,5.75429789,5.74117976,5.737196531,5.761625666,5.76228295,5.768186846,5.748494971,5.758877413,5.73252271,5.832600678,5.748901542,5.806187595,5.713647553,5.832058247,5.824865666,5.75870984,5.770785106,5.729569132
ebv-miR-BART1-5p,5.766348425,5.807785625,5.810587059,5.761591918,5.758410559,5.748898921,5.797010714,5.853117069,5.814341992,5.692216378,5.745087888,5.752389962,5.729323078,5.749709439,5.777234782,5.683402711,5.812806898,5.814366386,5.811265799,5.740681719,5.722225049,5.746698679,5.842456425,5.726214794,5.727091484,5.699722133,5.801488879,5.792808567,5.765114339,5.777739853,5.772522067,5.742544529,5.794508772,5.696088241,5.788421263,5.747446959,5.732975209,5.734782703,5.754745836,5.773122972,5.686764476,5.702154982,5.733553468,5.744147047,5.774633468,5.86846421,5.864095024,5.872958584,5.721251232,5.774378225,5.745909839,5.721722593,5.802664521,5.843220047,5.811647421,5.770846745,5.739259783,5.701192957,5.744329319,5.712150641,5.759861383,5.753804302,5.775588268,5.783388818,5.7930952,5.770489617,5.767981405,5.716972112,5.727409571,5.759835453,5.725529547,5.78520771,5.773330832,5.785430613,5.736826863,5.787491172,5.755814493,5.865437092,5.741304626,5.754865777,5.767961005,5.753094314,5.777089402,5.749454451,5.758218493,5.772105398,5.721405232,5.763161252,5.777778949,5.729005604,5.776957596,5.762716604,5.786075357,5.764175587,5.782995276,5.731807582,5.822501437,5.861948199,5.783016258,5.853329941,5.721935064,5.661280345,5.780921695,5.765437973,5.724369825,5.75058048,5.780777177,5.707553365,5.794058009,5.856111898,5.749825878,5.769341065,5.736068203,5.829584583,5.783065735,5.766017477,5.653267998,5.656267941
