GeneSymbol,TCGA-02-0047,TCGA-02-0055,TCGA-02-2486,TCGA-06-0125,TCGA-06-0130,TCGA-06-0132,TCGA-06-0138,TCGA-06-0139,TCGA-06-0141,TCGA-06-0152,TCGA-06-0157,TCGA-06-0158,TCGA-06-0168,TCGA-06-0171,TCGA-06-0174,TCGA-06-0184,TCGA-06-0187,TCGA-06-0190,TCGA-06-0210,TCGA-06-0211,TCGA-06-0219,TCGA-06-0238,TCGA-06-0644,TCGA-06-0645,TCGA-06-0646,TCGA-06-0649,TCGA-06-0686,TCGA-06-0743,TCGA-06-0744,TCGA-06-0745,TCGA-06-0747,TCGA-06-0749,TCGA-06-0750,TCGA-06-0882,TCGA-06-1804,TCGA-06-2557,TCGA-06-2558,TCGA-06-2559,TCGA-06-2561,TCGA-06-2562,TCGA-06-2565,TCGA-06-2567,TCGA-06-5408,TCGA-06-5410,TCGA-06-5411,TCGA-06-5412,TCGA-06-5418,TCGA-06-5856,TCGA-08-0386,TCGA-12-0616,TCGA-12-0618,TCGA-12-0619,TCGA-12-0821,TCGA-12-3650,TCGA-12-3652,TCGA-12-3653,TCGA-12-5295,TCGA-12-5299,TCGA-14-0736,TCGA-14-0781,TCGA-14-0787,TCGA-14-0789,TCGA-14-0790,TCGA-14-0817,TCGA-14-0871,TCGA-14-1034,TCGA-14-1402,TCGA-14-1823,TCGA-14-1825,TCGA-14-2554,TCGA-15-0742,TCGA-16-0846,TCGA-16-1045,TCGA-19-0957,TCGA-19-1389,TCGA-19-1390,TCGA-19-1787,TCGA-19-2620,TCGA-19-2624,TCGA-19-2625,TCGA-19-5960,TCGA-26-5135,TCGA-26-5136,TCGA-27-1830,TCGA-27-1831,TCGA-27-1832,TCGA-27-1834,TCGA-27-1835,TCGA-27-1837,TCGA-27-2519,TCGA-27-2523,TCGA-27-2524,TCGA-27-2526,TCGA-27-2528,TCGA-28-1747,TCGA-28-5204,TCGA-28-5207,TCGA-28-5208,TCGA-28-5213,TCGA-28-5215,TCGA-28-5218,TCGA-28-5220,TCGA-32-1970,TCGA-32-1980,TCGA-32-1982,TCGA-32-2615,TCGA-32-2616,TCGA-32-2632,TCGA-32-2638,TCGA-32-5222,TCGA-41-2571,TCGA-41-2572,TCGA-41-3915,TCGA-41-4097,TCGA-41-5651,TCGA-76-4925,TCGA-76-4926,TCGA-76-4928,TCGA-76-4929,TCGA-76-4931
ABHD15,3.944717917,4.000189341,3.95863855,3.94976836,4.332808167,3.660746113,3.258398318,4.270812968,3.554392386,3.91021458,3.721296093,4.035535938,3.958462236,4.884094795,3.044096806,4.005507782,4.004896843,3.968146062,3.873773834,4.116780603,2.533438758,2.775429871,4.252574611,3.801334584,3.544275174,4.396652728,3.150998267,3.374510926,2.685715936,3.875357413,3.765502922,3.529808456,3.808096689,3.750413561,4.758878776,4.74386499,3.377137634,3.473553153,4.212398135,3.710349106,3.7545348,4.768761287,3.900760564,4.647349051,2.885496273,4.203866742,3.749780953,3.917002034,4.027322167,2.778481948,2.885515796,4.276057388,3.281238295,3.024957899,3.585058677,4.471018334,3.723853405,3.788915354,3.370610693,3.897395338,4.522432448,3.870275936,4.166257501,3.496232236,2.447076612,4.863095972,2.782261772,3.35562243,3.52614395,3.726929282,4.300167664,3.299230002,4.607359907,3.346006595,4.205650561,3.369941022,5.057519589,3.569576154,3.280763348,3.652417657,4.057103637,3.252551904,4.263395035,3.913540497,2.360139496,4.665483733,3.720880375,4.006845552,3.349903074,3.956642164,3.436708211,2.990682628,3.602801288,3.47529245,3.810412255,4.069074846,3.892837852,4.694807778,3.979257121,4.109460859,4.477107389,3.399499253,3.799377474,3.442319851,3.407447931,4.23121734,4.249528775,4.104806298,4.042556793,3.345268622,3.259076599,3.382086185,4.130840287,4.561546099,2.66343571,3.720333195,4.386176352,3.881586316,4.842983859,3.882104995
ABHD2,7.375221929,5.565566713,5.019630756,6.92732642,6.025877059,4.851074377,4.041917554,4.347403453,5.225444612,7.026287723,5.544426653,6.538961784,5.378778636,6.00777632,6.000948711,4.969426816,6.368013984,5.859211736,5.393786849,6.302818022,3.260778432,4.009508418,6.133366243,4.922897139,5.338474334,4.504448784,5.276053665,4.668958712,5.396508884,5.392612802,7.040516589,4.175644355,4.44831292,6.050710642,5.704371249,5.575881066,4.939818958,5.750598466,6.382720851,7.393429072,7.425928366,5.493343111,6.336063753,5.397241653,5.062903133,5.938617489,5.788531724,5.620023298,5.440071832,4.778760522,4.882271324,5.314790769,4.291021471,5.116269095,4.940678887,6.309263515,5.528340019,5.373025206,3.299625652,5.597084173,5.615116097,6.518214085,5.54816224,3.438559007,4.228033651,6.759306329,4.663947988,3.570487219,6.134960173,4.405386573,5.51669913,4.656908183,5.705118109,5.400599407,5.301792477,6.056598701,5.34922018,6.127990195,5.333387952,4.737719205,5.745339533,5.455235148,4.193779627,5.662404911,3.416677632,4.46924782,5.311372325,5.54363198,6.220600822,4.498716796,6.940172625,3.875229611,4.335383208,7.093888658,5.492945925,6.699965215,5.828783885,6.770999464,4.184851546,6.509900072,5.221996914,4.201492721,6.093050935,5.772658998,5.239321658,5.561888195,5.486373285,5.005215821,6.316679774,4.838684576,4.84530437,4.902367878,5.23208126,6.940603722,5.174302543,6.194857298,5.710949663,6.343093309,5.456993372,6.120229581
ABL2,3.417298954,4.521591018,2.787327978,3.468153181,3.858209818,2.426372114,2.043624477,2.916151763,2.323715929,3.390296235,2.383856329,3.187546069,2.975373391,3.720770955,3.005795193,2.238358878,2.909408305,4.090319941,3.760114471,3.387128139,1.644640802,2.126708602,3.552598402,3.049160247,3.068258062,2.551294521,2.923795728,2.239642442,2.380009029,2.752149128,2.971755057,2.300211602,2.501388188,2.808632172,3.118675343,3.146361962,2.913530923,3.329525485,2.783917573,3.85623876,3.376484878,3.092021337,3.162000514,3.000739192,2.445700222,3.029753232,3.195001058,3.120302169,3.272262125,2.481763919,3.425929205,3.712617789,2.931248103,2.210762894,1.564524504,3.262162514,1.712859865,2.657525683,1.326939958,3.586632655,3.054431754,3.446004729,2.56193706,1.802441401,3.176274895,2.807519792,1.824849302,2.206830737,3.114916677,2.296545508,2.957041662,2.778355783,2.910272154,3.389360304,3.959946309,3.250537189,2.852817864,2.683449435,3.301368153,2.978232246,3.419471474,3.125122061,2.79366703,3.600412493,1.700040147,2.817480004,2.892352165,3.120700295,2.868588001,2.98728448,3.114983287,2.590003117,1.522758841,2.940523856,2.849118567,3.338281778,2.994923613,2.903057557,2.184312037,3.800962006,3.672595061,2.063606481,3.033546341,2.720956963,2.389842109,3.367748466,3.014248158,2.170117348,3.376248702,2.553311348,2.844164672,2.222742748,3.040173533,3.653919873,3.677857739,3.358607249,2.80467314,3.895089304,3.146834408,3.480071198
45870,4.537556996,3.480071198,3.55161445,4.40476691,3.988102948,3.240054774,3.130206046,3.053928053,3.379801149,4.044883678,4.088192491,4.447658536,3.497599593,4.265354377,4.191941593,3.262643623,4.479146471,3.60046007,3.673228501,4.241718175,2.43980928,3.31556623,3.749544994,3.356749502,4.117296086,3.88161568,3.719752957,3.114816756,3.528658828,3.358044548,3.837075346,3.070990326,3.375581644,3.631593249,4.428986531,4.81303721,4.174206652,4.058264537,4.088268828,3.383317218,4.398665036,4.684947744,4.531188048,3.105543992,3.095384363,3.395007943,3.124973233,4.039076964,4.637633429,3.500164679,4.331726711,4.514292722,3.876114164,3.229511018,2.454096911,4.579916276,3.622286147,3.570317197,2.269541891,3.444627315,4.175500649,3.918128587,3.636172167,2.801034459,4.158393583,4.805565902,2.699973541,2.906274914,4.335619024,3.254835883,4.001432966,3.749770228,4.577779262,4.188242656,3.87521978,3.979430912,4.454406232,3.748686636,4.501330859,3.842536405,4.900852321,4.129571527,4.092401972,4.438791853,2.219462839,3.611644543,4.605482481,4.166072676,4.143777063,3.980665137,4.152605293,2.694657366,2.882134349,3.938464588,4.326465442,4.351218414,4.529108791,3.994335332,2.775956552,4.585443319,3.612505843,3.456635328,4.456004429,3.349351122,3.312766809,4.082923949,4.413120146,3.590697821,4.040392747,3.39342993,3.958926173,3.36335333,4.022101445,4.022163602,4.321819889,4.087479814,4.12603123,3.734276069,4.689064284,4.478926518
AP1G1,5.15849861,4.50306882,4.045766213,5.569007966,5.011634284,4.244902277,4.433366778,4.121446487,4.25032495,5.485896915,5.126766412,5.234689079,4.163522884,5.315153186,4.839087864,4.628849402,5.239676807,5.075391435,5.092389286,5.382186505,4.10800583,4.383158211,5.201661303,4.693236032,5.231793344,4.797500713,4.48715831,4.272948845,4.283729203,4.586722717,5.190018223,3.720114264,4.389022945,4.869461828,5.325897255,4.647734707,5.358209864,5.627408396,5.203584884,5.257033254,5.672544147,4.97658818,5.491840272,4.364488389,4.808070939,4.699679328,4.263800634,5.420334177,5.687934106,4.75576354,4.567381164,4.981290989,5.496794671,4.776535679,4.093441862,5.228041349,3.981158532,5.232234792,3.390612662,4.770205329,4.2578253,5.318888021,5.269164091,4.2124137,4.136683578,5.28955416,4.557477487,4.498927371,5.216303526,3.842636968,4.708816277,4.872971545,5.174058807,5.097282108,4.175317004,5.607990103,4.679266143,5.071149119,5.364008551,4.532790714,5.654197784,4.681915845,4.952766869,5.469612515,3.924422983,4.098798509,5.188598736,4.972692654,4.961604808,4.981190505,5.299255649,3.659091116,3.956279732,5.101784524,5.080840973,4.818518269,5.363588123,5.305930405,4.548048155,5.508691686,4.708468683,4.986474649,5.280002365,4.482248111,4.678567746,5.110233769,4.967463758,4.693252762,5.236741337,4.695192093,4.539574496,4.58329041,4.964162939,5.191211251,4.454662852,5.536972947,5.375619869,4.76644675,5.464171602,5.555540103
APP,9.622678011,9.376020739,9.294007473,10.13361991,9.685503077,9.206008966,8.794389222,8.306471876,8.767669694,9.372559298,10.02695328,9.814434744,9.203394501,9.270315185,9.811677973,9.883877065,9.796716819,10.07854353,9.622147935,10.35072851,8.366109292,8.560419202,10.40510252,9.414300677,9.459018219,9.679763157,8.973693636,9.2043288,8.747419962,9.413228065,10.29328414,9.024356529,9.018292831,9.654195993,8.630237634,9.600101347,9.40173221,10.28160646,9.713527942,10.29732075,10.84329054,8.67249111,10.23290942,9.781345942,9.471143148,10.52919158,10.0308467,9.899464781,9.84327664,8.746346361,9.903342918,9.941335823,9.528152647,9.211556656,10.02528507,10.26971661,9.365219224,9.52637482,8.789350403,10.11639335,9.216707547,10.74849151,9.844179897,8.765258911,9.387183296,11.00652167,8.675873079,8.400451686,8.976245908,8.986111955,8.687671366,9.050722612,9.874484078,9.903918139,9.979749569,8.477748554,10.26149943,9.561304177,9.994623422,9.058866819,10.39733975,9.390613307,8.920011869,9.989713944,8.802278858,9.450909351,9.437611228,9.860332629,9.885609901,9.200364574,10.19152305,9.806532223,9.499232811,9.920885467,9.490074279,10.82794324,10.04978839,10.5609161,8.757923316,10.14168236,9.907831797,9.38751053,10.04535464,9.874716138,9.687314615,9.142634247,10.06008482,9.743503355,10.54836052,9.692605215,9.528373818,9.984108524,9.721583709,10.20440828,10.32511856,8.799870561,9.43284043,10.81753293,9.625441281,9.656551607
ATXN1,3.80227595,3.422677046,3.304730058,4.144087169,3.551958909,3.105527231,2.997292408,3.053702199,2.541043941,4.004159779,3.456884983,4.194386532,3.357622378,4.030945166,3.544386466,2.578914567,3.874954306,3.515762906,4.177008847,4.042180289,2.553581683,2.424250286,3.204281598,3.241840184,3.836338234,3.49865936,2.748332415,3.254200967,3.0898032,3.210123868,4.096025658,2.802668866,3.088955682,3.76394266,3.982153944,3.396584232,3.644859956,4.21298948,3.29795439,4.00704297,4.359605503,3.913559645,4.290247448,2.981523901,3.003278403,3.213844945,3.741564062,2.960103902,4.098175292,2.880587579,3.708176198,3.725424885,3.473734968,2.870187146,2.610345722,3.423120954,2.414216733,3.345226035,2.234470664,3.6346165,3.790615668,4.112958627,3.104672131,2.266426759,2.879862572,4.4036154,2.81329893,3.048218745,2.854574206,3.606489607,3.552389368,2.972159585,3.891914907,3.671633057,3.528558817,2.88139054,3.469938058,3.727822457,3.445117507,3.121562526,3.641037297,3.409988258,3.474046599,4.046403748,3.225660543,3.142119314,3.902826093,3.18797356,3.433413518,3.872454497,3.665665638,2.930093894,2.565499693,3.738659766,3.421923434,3.671112175,3.816343705,3.769845776,2.755571284,3.73415682,3.100792675,2.671270724,3.745065188,3.4060468,3.157561176,4.299676933,4.117811384,2.817316268,4.099269953,3.059112962,2.812518762,3.13691321,3.932136782,3.614862938,3.271380853,3.620715426,4.190978253,3.676921799,3.492404421,3.755859658
ATXN7L3B,5.912132471,4.936425936,5.771827489,5.869718445,5.31029649,5.664545416,5.375765811,4.424740732,4.882515891,5.894820188,5.888017458,5.979698417,5.573710801,5.310801796,6.155101558,4.454057419,5.524558953,5.227001675,5.427576005,5.760817066,5.324735011,5.933459333,5.409255147,4.993570209,5.728298772,5.357537929,5.755843639,5.301225464,5.117520513,5.609110758,6.070541747,5.60361151,5.38901606,5.864520464,6.628162624,5.703205929,6.283088353,6.011211598,6.152394371,5.610537667,6.002891507,5.83259132,6.536045127,5.396841073,6.386919558,5.621336886,5.809079972,5.336640446,5.804631843,5.694501366,6.741298437,4.982400408,6.221853886,5.681969239,5.245868306,6.277067898,5.480161699,6.104175186,5.7583858,5.397902195,5.797933829,6.006540398,6.299905839,5.111194107,6.268569135,5.966624266,5.528793207,5.829532477,6.05749143,6.791777613,5.611346508,6.007215688,5.921381581,6.434666588,5.430874008,6.000840576,5.198030468,5.653289362,5.857152451,5.107754814,6.029388833,5.419542262,5.167008613,6.167799469,4.919735744,6.153651332,6.437377568,5.465781875,5.49441561,6.019895358,6.090849197,4.998710015,5.118210199,5.651981607,5.993710587,6.173966895,6.978395863,6.215051455,5.836095813,6.359262871,6.018772135,6.332061619,6.19861398,6.174747955,5.47488053,5.455317356,5.391142178,5.413790382,5.848530305,6.015390519,6.155279698,5.283080943,5.950930264,5.64952924,7.607093544,5.955654557,6.71707866,5.638476461,7.130079371,6.1901842
BCL2L11,3.651832401,3.988057489,2.889804487,3.854474471,3.912199551,2.874659279,3.77482922,3.7823142,2.958137391,4.015524331,3.829697369,3.601090315,2.694813348,4.082889896,4.545727488,2.947067637,3.252112845,3.289391853,3.426130544,3.927716343,2.157755178,2.909734709,3.089582893,3.08195312,3.520007296,3.452490009,3.616392988,2.795517613,2.500062674,3.566413335,3.322519479,2.452516366,2.63505783,2.97337249,4.492904278,3.528458799,3.152524173,4.205853839,2.703455127,2.935648323,3.781464633,4.390997784,3.635615106,3.300987618,3.031748063,3.18394696,3.113467142,3.118891252,4.040173533,3.151907512,3.005292186,3.905572332,3.790573966,3.485285127,2.967961687,4.323247557,3.215445635,3.372534269,2.144144287,2.949590959,4.209180398,2.709577381,3.484550639,3.102221394,5.103287808,3.861449241,2.605233554,2.85692595,3.144633773,3.07845613,2.693141227,2.419296175,3.272680168,3.39007607,2.734026718,3.907554083,3.91475585,2.628190335,3.355030364,2.206580714,3.26477661,3.334024731,2.799584701,3.72444291,2.71026093,3.595348498,2.570025684,2.433306681,3.39895228,2.824034611,3.314537023,2.434027675,2.787704094,3.259468349,2.826904351,4.101557636,3.363395385,3.202809492,3.133316918,3.551700572,4.607939816,3.44948214,3.636404212,2.436348429,3.427740246,3.11201615,3.212491521,3.557544881,3.618685023,2.632710264,3.118658734,2.744591687,3.782523892,3.304029089,3.081407806,3.935440889,3.285121051,2.790438428,3.942720925,3.522984763
BRD2,6.048659061,6.217556449,6.450470613,6.560898336,5.925161558,5.439962164,5.53576682,5.55425423,5.146150125,6.691451811,6.229343736,6.653740779,5.792954235,6.291599875,6.684075323,5.598835624,6.483256322,6.610545049,6.498209373,6.529983319,5.459411945,5.706591331,6.122846627,6.290245604,6.659830392,5.793594206,6.442215332,5.971605629,6.217816207,6.165276853,6.697107965,5.918736847,5.929755498,6.167508468,6.638221575,6.542556774,6.304512867,6.745184884,5.6877186,6.575251814,6.843156016,6.937655122,7.235568156,5.522181326,6.343681411,6.175338963,6.417854202,6.072819681,7.056675645,6.101616462,6.771861815,6.963053277,6.900762978,6.395160507,5.922856713,7.223689941,5.925501033,6.300030349,4.382003156,6.16610683,6.181758534,6.551082221,6.236504099,5.58935902,6.374041367,6.42135965,5.579346111,5.235554753,6.741561365,5.689774389,6.324409199,6.335979819,6.315493775,6.176669839,6.372165085,7.138680357,6.47076786,6.163915299,6.672862328,6.454980274,6.454202219,6.478052846,6.402991566,6.562388976,5.196921734,5.686587366,6.409475798,6.403398963,6.437607275,6.100622395,6.953323449,5.977311983,4.986966061,6.623521594,6.616100344,7.120546864,6.652807695,6.5195765,5.792189019,6.775003118,6.151653874,5.660729002,6.705113961,5.954447597,6.120874441,6.699403102,6.192075777,6.235612191,6.653620415,5.920448139,6.418127529,5.999797107,6.470610072,5.805024118,6.654948161,6.344203572,6.292154114,6.322995294,5.86814842,6.714079255
