GeneSymbol,TCGA-02-0047,TCGA-02-0055,TCGA-02-2486,TCGA-06-0125,TCGA-06-0130,TCGA-06-0132,TCGA-06-0138,TCGA-06-0139,TCGA-06-0141,TCGA-06-0152,TCGA-06-0157,TCGA-06-0158,TCGA-06-0168,TCGA-06-0171,TCGA-06-0174,TCGA-06-0184,TCGA-06-0187,TCGA-06-0190,TCGA-06-0210,TCGA-06-0211,TCGA-06-0219,TCGA-06-0238,TCGA-06-0644,TCGA-06-0645,TCGA-06-0646,TCGA-06-0649,TCGA-06-0686,TCGA-06-0743,TCGA-06-0744,TCGA-06-0745,TCGA-06-0747,TCGA-06-0749,TCGA-06-0750,TCGA-06-0882,TCGA-06-1804,TCGA-06-2557,TCGA-06-2558,TCGA-06-2559,TCGA-06-2561,TCGA-06-2562,TCGA-06-2565,TCGA-06-2567,TCGA-06-5408,TCGA-06-5410,TCGA-06-5411,TCGA-06-5412,TCGA-06-5418,TCGA-06-5856,TCGA-08-0386,TCGA-12-0616,TCGA-12-0618,TCGA-12-0619,TCGA-12-0821,TCGA-12-3650,TCGA-12-3652,TCGA-12-3653,TCGA-12-5295,TCGA-12-5299,TCGA-14-0736,TCGA-14-0781,TCGA-14-0787,TCGA-14-0789,TCGA-14-0790,TCGA-14-0817,TCGA-14-0871,TCGA-14-1034,TCGA-14-1402,TCGA-14-1823,TCGA-14-1825,TCGA-14-2554,TCGA-15-0742,TCGA-16-0846,TCGA-16-1045,TCGA-19-0957,TCGA-19-1389,TCGA-19-1390,TCGA-19-1787,TCGA-19-2620,TCGA-19-2624,TCGA-19-2625,TCGA-19-5960,TCGA-26-5135,TCGA-26-5136,TCGA-27-1830,TCGA-27-1831,TCGA-27-1832,TCGA-27-1834,TCGA-27-1835,TCGA-27-1837,TCGA-27-2519,TCGA-27-2523,TCGA-27-2524,TCGA-27-2526,TCGA-27-2528,TCGA-28-1747,TCGA-28-5204,TCGA-28-5207,TCGA-28-5208,TCGA-28-5213,TCGA-28-5215,TCGA-28-5218,TCGA-28-5220,TCGA-32-1970,TCGA-32-1980,TCGA-32-1982,TCGA-32-2615,TCGA-32-2616,TCGA-32-2632,TCGA-32-2638,TCGA-32-5222,TCGA-41-2571,TCGA-41-2572,TCGA-41-3915,TCGA-41-4097,TCGA-41-5651,TCGA-76-4925,TCGA-76-4926,TCGA-76-4928,TCGA-76-4929,TCGA-76-4931
ABHD15,3.944717917,4.000189341,3.95863855,3.94976836,4.332808167,3.660746113,3.258398318,4.270812968,3.554392386,3.91021458,3.721296093,4.035535938,3.958462236,4.884094795,3.044096806,4.005507782,4.004896843,3.968146062,3.873773834,4.116780603,2.533438758,2.775429871,4.252574611,3.801334584,3.544275174,4.396652728,3.150998267,3.374510926,2.685715936,3.875357413,3.765502922,3.529808456,3.808096689,3.750413561,4.758878776,4.74386499,3.377137634,3.473553153,4.212398135,3.710349106,3.7545348,4.768761287,3.900760564,4.647349051,2.885496273,4.203866742,3.749780953,3.917002034,4.027322167,2.778481948,2.885515796,4.276057388,3.281238295,3.024957899,3.585058677,4.471018334,3.723853405,3.788915354,3.370610693,3.897395338,4.522432448,3.870275936,4.166257501,3.496232236,2.447076612,4.863095972,2.782261772,3.35562243,3.52614395,3.726929282,4.300167664,3.299230002,4.607359907,3.346006595,4.205650561,3.369941022,5.057519589,3.569576154,3.280763348,3.652417657,4.057103637,3.252551904,4.263395035,3.913540497,2.360139496,4.665483733,3.720880375,4.006845552,3.349903074,3.956642164,3.436708211,2.990682628,3.602801288,3.47529245,3.810412255,4.069074846,3.892837852,4.694807778,3.979257121,4.109460859,4.477107389,3.399499253,3.799377474,3.442319851,3.407447931,4.23121734,4.249528775,4.104806298,4.042556793,3.345268622,3.259076599,3.382086185,4.130840287,4.561546099,2.66343571,3.720333195,4.386176352,3.881586316,4.842983859,3.882104995
ABHD2,7.375221929,5.565566713,5.019630756,6.92732642,6.025877059,4.851074377,4.041917554,4.347403453,5.225444612,7.026287723,5.544426653,6.538961784,5.378778636,6.00777632,6.000948711,4.969426816,6.368013984,5.859211736,5.393786849,6.302818022,3.260778432,4.009508418,6.133366243,4.922897139,5.338474334,4.504448784,5.276053665,4.668958712,5.396508884,5.392612802,7.040516589,4.175644355,4.44831292,6.050710642,5.704371249,5.575881066,4.939818958,5.750598466,6.382720851,7.393429072,7.425928366,5.493343111,6.336063753,5.397241653,5.062903133,5.938617489,5.788531724,5.620023298,5.440071832,4.778760522,4.882271324,5.314790769,4.291021471,5.116269095,4.940678887,6.309263515,5.528340019,5.373025206,3.299625652,5.597084173,5.615116097,6.518214085,5.54816224,3.438559007,4.228033651,6.759306329,4.663947988,3.570487219,6.134960173,4.405386573,5.51669913,4.656908183,5.705118109,5.400599407,5.301792477,6.056598701,5.34922018,6.127990195,5.333387952,4.737719205,5.745339533,5.455235148,4.193779627,5.662404911,3.416677632,4.46924782,5.311372325,5.54363198,6.220600822,4.498716796,6.940172625,3.875229611,4.335383208,7.093888658,5.492945925,6.699965215,5.828783885,6.770999464,4.184851546,6.509900072,5.221996914,4.201492721,6.093050935,5.772658998,5.239321658,5.561888195,5.486373285,5.005215821,6.316679774,4.838684576,4.84530437,4.902367878,5.23208126,6.940603722,5.174302543,6.194857298,5.710949663,6.343093309,5.456993372,6.120229581
ABL2,3.417298954,4.521591018,2.787327978,3.468153181,3.858209818,2.426372114,2.043624477,2.916151763,2.323715929,3.390296235,2.383856329,3.187546069,2.975373391,3.720770955,3.005795193,2.238358878,2.909408305,4.090319941,3.760114471,3.387128139,1.644640802,2.126708602,3.552598402,3.049160247,3.068258062,2.551294521,2.923795728,2.239642442,2.380009029,2.752149128,2.971755057,2.300211602,2.501388188,2.808632172,3.118675343,3.146361962,2.913530923,3.329525485,2.783917573,3.85623876,3.376484878,3.092021337,3.162000514,3.000739192,2.445700222,3.029753232,3.195001058,3.120302169,3.272262125,2.481763919,3.425929205,3.712617789,2.931248103,2.210762894,1.564524504,3.262162514,1.712859865,2.657525683,1.326939958,3.586632655,3.054431754,3.446004729,2.56193706,1.802441401,3.176274895,2.807519792,1.824849302,2.206830737,3.114916677,2.296545508,2.957041662,2.778355783,2.910272154,3.389360304,3.959946309,3.250537189,2.852817864,2.683449435,3.301368153,2.978232246,3.419471474,3.125122061,2.79366703,3.600412493,1.700040147,2.817480004,2.892352165,3.120700295,2.868588001,2.98728448,3.114983287,2.590003117,1.522758841,2.940523856,2.849118567,3.338281778,2.994923613,2.903057557,2.184312037,3.800962006,3.672595061,2.063606481,3.033546341,2.720956963,2.389842109,3.367748466,3.014248158,2.170117348,3.376248702,2.553311348,2.844164672,2.222742748,3.040173533,3.653919873,3.677857739,3.358607249,2.80467314,3.895089304,3.146834408,3.480071198
ABLIM1,6.800950361,3.320845668,4.895501366,5.890475877,3.676741307,5.184351713,4.574192355,3.089887924,4.110546993,5.84997925,5.508564929,6.042681542,5.144674556,5.798553452,4.879602853,4.868834899,5.903771004,4.387851904,4.415184016,5.681364928,2.789729251,3.412022726,3.059130272,5.100401632,5.2527676,4.821398992,4.642510971,5.211351016,4.987188962,4.757935313,5.791040433,4.785550552,4.488322191,5.843267845,5.689875005,5.457265951,5.332596953,5.572171173,5.711024027,5.137212496,6.530894761,5.21299337,5.382293736,4.211635253,5.133497768,5.071706903,4.858657411,5.906565953,5.77216279,4.15718118,4.891044854,5.133062046,5.226454582,4.926677895,3.564000067,5.885915963,4.962178816,4.785744084,3.280347641,5.10353121,5.33737214,4.97019104,5.973868385,3.810854362,4.078421972,5.455133204,3.634453871,3.829240699,4.801722584,4.777630121,5.174442374,5.577026932,5.94636359,5.991308686,4.496903297,4.070423677,5.594336549,5.568846888,5.186544136,5.235730889,5.919561762,4.887296176,4.999012318,5.731815911,2.784755229,4.756009162,5.935827447,5.713068898,5.685488885,4.92792489,5.319296384,3.121711706,4.3804247,5.534696627,5.674788294,5.748866397,6.921551774,5.299325261,4.188677852,5.645814041,3.51125296,4.599805752,5.999280727,5.511638815,5.324407399,5.413326666,4.79977636,5.481118077,5.761516661,4.863958268,3.889493012,4.764935267,5.081403545,5.311982578,4.808745422,4.901634431,5.566175844,4.613696658,5.498416832,5.563957372
ACVR2A,3.132231344,3.184121573,2.604047595,3.327558033,3.44354035,2.5965297,2.704274406,2.405393381,2.404630684,2.974529312,3.036802216,2.925220913,2.686433293,2.584361253,4.031095192,2.078712295,2.203044503,2.996479138,2.869634556,3.096447408,2.72320904,3.287472295,2.844245033,2.593545002,2.760540327,2.822465035,2.988084764,2.300094431,2.622953771,2.624545452,2.299186034,2.204297251,2.331303934,2.580362596,2.807210645,3.310921735,3.605257263,3.172471514,2.708032693,2.708319689,3.355876098,2.599103516,3.068447253,2.237165974,3.229234127,2.349082146,2.59664896,3.323211522,2.749963258,3.261726371,4.233466292,3.140402394,3.316681584,2.995773933,2.254291686,3.258684742,2.779911045,2.61511021,2.235604533,2.255138125,3.011656645,2.974731202,2.665051614,2.891283077,3.112416569,2.648373402,2.738811063,3.004303626,3.601482592,2.454360167,2.591751215,3.11325042,2.808899839,3.103430497,3.563280181,3.911509436,1.943921327,2.437281013,3.660791741,1.951662389,3.527145422,2.653725017,2.681201861,3.107587446,2.26068812,2.29769033,2.962012192,2.393278899,2.888830904,2.916495753,2.97020945,3.010547127,1.675183626,3.128425389,2.82026067,2.872493897,3.307443098,3.12043489,2.250082353,3.153448671,2.673443356,2.50495084,2.652853575,2.544930441,2.679198571,2.723143495,2.142250043,1.736821317,2.557655155,2.425700987,3.222943632,2.578793833,2.903636055,2.883405764,4.374107462,2.54344639,2.830417598,2.632919608,3.333194716,3.36108053
ADA,3.398979633,3.808796896,3.696583684,3.558904337,4.674370254,3.456030722,3.621020327,5.060959591,3.826904351,4.340462573,3.99934162,3.677688638,3.270259814,4.045329382,3.126378217,4.249323974,4.123939283,3.632500889,3.009705472,4.152751297,3.687665418,2.933270472,4.768020192,3.617039828,3.048462897,3.223793216,3.026180364,3.682011391,3.98029041,4.540250503,3.55406079,2.580097233,3.535107376,3.5990678,2.850899412,3.495516094,3.630277319,3.230940776,2.493698565,4.558861491,3.978863728,2.637957953,3.341857692,4.330479523,3.36868455,3.108842233,2.755678096,3.039787636,2.864889364,3.32609147,3.39672122,2.623328442,3.002846513,3.338666864,3.404358195,4.330020516,4.244902277,3.334868568,3.925239905,3.684156696,4.817577213,2.899252985,3.867293568,3.335569006,4.963922584,1.874206786,4.743057119,3.014730202,2.723602246,3.158789414,3.578310793,3.400401304,3.942495738,3.208688925,2.871666257,1.624662418,2.828265988,3.307574245,2.416947805,2.267595722,2.551540626,3.394527861,3.046194179,2.936364684,3.215243704,2.70617688,2.71501475,3.411832963,2.972159585,3.088260346,2.696973088,4.148901574,4.564304995,3.596267294,2.725457606,3.544485386,1.608620024,3.830772508,3.400947728,3.28241015,4.955554596,3.702790505,2.283003132,3.524026053,3.088396048,3.33034327,2.328750313,2.602148031,3.066915812,3.464393815,3.221815228,3.970568399,3.434534825,3.479321115,2.694389927,3.962567531,2.328577997,3.911250558,2.54823932,3.947899886
AGAP1,4.924052365,2.995647322,3.301763217,5.443076151,2.598674866,4.284995247,3.424653405,2.781779346,3.21060706,5.455136492,4.219757097,4.783011309,4.013623047,4.71606903,5.239356031,3.191499484,4.796929943,4.13525576,4.395172506,5.02317106,2.724170021,3.332951346,4.047887329,3.843551775,4.989629513,3.068550438,4.402503901,3.611797963,3.744161096,4.493077265,4.719840555,3.655466324,3.616875205,4.170173444,4.061370112,4.817664184,4.495746321,5.284924941,4.779721981,5.283510679,4.745092087,3.330673123,5.260443495,3.703953392,4.785843455,3.4763428,4.554232738,4.42382689,4.107830123,4.519491583,5.293576485,4.255394982,4.295458555,4.572077166,3.639000572,4.264243659,3.376915453,4.461921397,2.653518671,3.53076994,4.557079187,4.680093642,4.23565814,2.868034798,4.638537279,3.327974725,2.827758064,2.588900488,4.469775296,3.335397501,4.615339782,4.01237201,4.531624749,5.853494209,3.357397171,6.310810883,3.712815854,4.568907674,5.188199129,3.695704355,5.190816318,5.516238974,3.322634842,4.517666239,1.826721346,3.020555538,3.993375467,4.749582535,4.63227985,3.639232163,5.758609659,4.057250967,2.91958798,4.893837853,4.194362891,5.358582636,4.915057137,4.7381301,2.828834649,5.261346518,3.789614499,3.036643992,4.627367536,5.044201747,3.671995298,4.544924261,3.533438758,3.328420021,4.596464103,3.43689473,5.366927145,4.209609324,4.499571669,4.759422186,5.410425911,5.290136839,4.228480098,4.034101239,4.794629006,5.34128486
45870,4.537556996,3.480071198,3.55161445,4.40476691,3.988102948,3.240054774,3.130206046,3.053928053,3.379801149,4.044883678,4.088192491,4.447658536,3.497599593,4.265354377,4.191941593,3.262643623,4.479146471,3.60046007,3.673228501,4.241718175,2.43980928,3.31556623,3.749544994,3.356749502,4.117296086,3.88161568,3.719752957,3.114816756,3.528658828,3.358044548,3.837075346,3.070990326,3.375581644,3.631593249,4.428986531,4.81303721,4.174206652,4.058264537,4.088268828,3.383317218,4.398665036,4.684947744,4.531188048,3.105543992,3.095384363,3.395007943,3.124973233,4.039076964,4.637633429,3.500164679,4.331726711,4.514292722,3.876114164,3.229511018,2.454096911,4.579916276,3.622286147,3.570317197,2.269541891,3.444627315,4.175500649,3.918128587,3.636172167,2.801034459,4.158393583,4.805565902,2.699973541,2.906274914,4.335619024,3.254835883,4.001432966,3.749770228,4.577779262,4.188242656,3.87521978,3.979430912,4.454406232,3.748686636,4.501330859,3.842536405,4.900852321,4.129571527,4.092401972,4.438791853,2.219462839,3.611644543,4.605482481,4.166072676,4.143777063,3.980665137,4.152605293,2.694657366,2.882134349,3.938464588,4.326465442,4.351218414,4.529108791,3.994335332,2.775956552,4.585443319,3.612505843,3.456635328,4.456004429,3.349351122,3.312766809,4.082923949,4.413120146,3.590697821,4.040392747,3.39342993,3.958926173,3.36335333,4.022101445,4.022163602,4.321819889,4.087479814,4.12603123,3.734276069,4.689064284,4.478926518
45871,3.653874027,3.570195741,2.877096364,4.454886535,3.007751657,2.516796815,2.940580232,2.495644002,2.691735146,4.225807049,3.401138927,4.03299123,3.006782731,3.823117533,3.966688859,2.720563036,4.013471193,3.36868455,3.967168608,4.111131496,1.987248093,2.636311398,3.054119133,3.001892296,3.99146289,2.683426976,3.233704031,3.130799111,3.171991384,3.179272174,4.056123943,2.576304447,2.743988823,3.367385045,4.962683199,3.742189501,3.461580944,4.86505769,3.701183069,3.806024969,4.925548506,3.714816987,3.682202464,2.673692094,2.996641829,2.537271214,3.854723795,3.803774661,3.86166759,3.602528144,4.291426746,3.969454445,3.0800948,3.100237614,2.936270447,3.664835507,2.692092375,3.170918516,1.327342456,3.176833371,3.715882391,3.90050941,3.483338561,2.09990111,4.548485947,3.323946455,2.686366056,1.791855737,3.791449445,2.567813129,3.712826857,2.887739709,3.58531111,4.180466161,3.289863968,5.074873599,3.868667013,3.54765958,4.865433877,3.432972766,5.008011721,4.017913002,3.544299906,3.85647782,2.514602026,3.061810753,3.562364552,3.711384773,3.832403972,3.041488318,3.904117959,2.533164621,1.860207991,3.724290099,3.494005914,3.887934626,3.415312487,2.996352588,2.137700241,4.22897257,4.403922105,2.473007568,3.965424143,2.62349233,3.304277388,3.640239151,3.496014873,3.376721016,3.436321774,2.92730864,3.672244287,3.575989948,3.543681467,3.927014643,4.8712424,4.319856341,3.914975843,3.464576789,3.485478351,4.394198569
AGPAT5,6.450214896,5.617621736,5.122403534,6.700287117,5.408691484,5.508289194,5.476809377,5.151688371,5.79122802,6.689715693,6.026800059,6.324830401,5.436967998,5.270667225,6.509983972,6.313505267,6.114050464,6.623089893,6.427884361,6.674165427,6.181390822,5.23935985,6.230028124,5.608448524,6.189860132,5.884575943,5.966465076,5.466369356,5.536820682,6.359761857,6.149119106,5.307020433,5.273709827,6.251878121,6.590631958,5.912494187,6.468343825,6.740514763,6.465145166,7.014948854,7.641251218,6.429353176,6.473129368,5.929428859,5.670540121,6.700288505,6.87247666,7.019481758,6.633429757,5.943508801,6.215628125,5.769007353,6.383984165,6.451204517,7.122607498,6.883480303,6.539893933,6.617369017,5.162169746,6.442973344,6.660249813,7.495835045,6.906247251,5.685202919,4.857961096,6.329155895,6.554516715,5.7973321,6.777431552,6.438968125,6.240777978,5.351416319,6.036564873,5.594999321,5.389756084,6.362804749,5.895952076,6.228249194,5.812831906,5.485059666,6.070232598,5.632468899,5.83684567,6.271421941,6.520076463,5.126378217,6.834802216,5.900666386,5.983577377,6.424586226,7.065050938,5.538277412,6.247318036,6.84705484,6.336959939,5.92612992,6.362646971,7.206120598,5.94604303,6.801943697,4.413526387,6.685044492,6.854488185,5.436391741,6.381063559,6.701977311,6.947961818,5.816464032,6.095614334,6.976224997,5.642467649,6.154184196,5.606234929,6.440819347,5.990076727,6.822068549,6.934766522,6.214045128,6.673844708,6.697597308
