Feature,Coefficient,Abs_Coefficient
DOK5,-0.024718503835180577,0.024718503835180577
RNU6-853P,0.024603320052048523,0.024603320052048523
RPL12P17,-0.024588003829180898,0.024588003829180898
ACSL3-AS1,0.024043075869083438,0.024043075869083438
SNORA13,0.022890044597061152,0.022890044597061152
HLA-L,0.02246042255515918,0.02246042255515918
H3C6,-0.021579708605428977,0.021579708605428977
AP000238.1,-0.02152508906145176,0.02152508906145176
MAGEE1,0.02152027799137447,0.02152027799137447
H3P1,-0.021358404446013772,0.021358404446013772
MMP9,-0.021256250585686275,0.021256250585686275
SNORD73B,0.021154567821840945,0.021154567821840945
RPS4XP22,-0.021050079534437247,0.021050079534437247
HCG9,0.0209338657359432,0.0209338657359432
AC019181.1,-0.020784978305451365,0.020784978305451365
DPY19L2P4,-0.020760883450204385,0.020760883450204385
RPL38P3,-0.020673476509483396,0.020673476509483396
MIR6514,-0.020606900051554706,0.020606900051554706
RNU6-1010P,0.020489359362078293,0.020489359362078293
AC011933.1,-0.02038588130004736,0.02038588130004736
NEXMIF,0.020323403389192713,0.020323403389192713
AC005013.1,-0.020260065332475298,0.020260065332475298
PHKA1P1,0.020149682731663992,0.020149682731663992
AC090281.1,-0.019846660134682587,0.019846660134682587
KANSL1-AS1,-0.019827323636519203,0.019827323636519203
ID2B,-0.019789275592788858,0.019789275592788858
PCDHB6,-0.0197424547085194,0.0197424547085194
RPS20P12,-0.019594832814373412,0.019594832814373412
AC005162.2,-0.019592168413571556,0.019592168413571556
SNURF,0.019322245284208152,0.019322245284208152
AC011472.2,-0.019016291735446358,0.019016291735446358
MATN3,0.0190001301821908,0.0190001301821908
AC092960.2,-0.018906761448163487,0.018906761448163487
GDF5,0.018882106823159196,0.018882106823159196
SCGB3A1,0.018715863403077605,0.018715863403077605
UBA52P3,-0.01858326188749911,0.01858326188749911
RPL31P52,0.01857158462550516,0.01857158462550516
RNU1-36P,-0.018565357114033648,0.018565357114033648
MIR4521,0.018538780297558472,0.018538780297558472
RPL23AP43,-0.01851400026397149,0.01851400026397149
NLGN4Y,-0.018463695912929547,0.018463695912929547
AC073210.1,0.018426715366067225,0.018426715366067225
AC099535.1,-0.018420589552292223,0.018420589552292223
RGS22,-0.018386318992039286,0.018386318992039286
PCDHGB5,0.0183778357670876,0.0183778357670876
ICOSLG,0.018278946179209637,0.018278946179209637
AC005019.1,-0.01827757319796562,0.01827757319796562
SNHG15,-0.018210005120044753,0.018210005120044753
OR2W3,0.01813320820636247,0.01813320820636247
CLEC18A,0.01808956077301067,0.01808956077301067
AC004967.1,0.018057856869187247,0.018057856869187247
FXN,-0.017994899242267146,0.017994899242267146
RPL39P39,-0.017977189597520326,0.017977189597520326
AL008723.2,0.01797594218840826,0.01797594218840826
AP000553.3,0.017961842237387317,0.017961842237387317
ROBO1,-0.01787862420723918,0.01787862420723918
AC104692.1,0.01782853640896345,0.01782853640896345
KCTD21-AS1,0.01770651033623178,0.01770651033623178
RPL10P5,-0.01767696809606765,0.01767696809606765
GAPDHP35,0.017591821278213612,0.017591821278213612
RNU6-824P,0.017557734745252962,0.017557734745252962
AP001282.2,-0.017529471604708052,0.017529471604708052
PNCK,0.017463705193891513,0.017463705193891513
FP565260.3,-0.017387931212059247,0.017387931212059247
AF038458.3,-0.017333431628369048,0.017333431628369048
ADAMTS3,0.0173097824268816,0.0173097824268816
RN7SL49P,0.01724759323204014,0.01724759323204014
AL512329.1,-0.017136083246857246,0.017136083246857246
ADAMTS8,-0.017098474699637725,0.017098474699637725
AC079305.2,0.017085272558405258,0.017085272558405258
MYH14,0.01708343177730038,0.01708343177730038
PHEX-AS1,-0.01706611133878528,0.01706611133878528
SLFN11,0.01702920587613312,0.01702920587613312
AC015967.1,0.017014282900148656,0.017014282900148656
SOX13,0.01701222697141402,0.01701222697141402
DGCR11,0.017001548415089593,0.017001548415089593
RPL12P42,-0.01699250793888818,0.01699250793888818
LSP1,-0.016946465893061778,0.016946465893061778
APTX,-0.016932798456021074,0.016932798456021074
AL360219.1,-0.016925118003119022,0.016925118003119022
PRELID2P1,-0.01690761047493153,0.01690761047493153
AC012150.2,-0.0168563858381619,0.0168563858381619
GSTM5,0.016834953471215712,0.016834953471215712
RNU6-125P,0.0168232907184449,0.0168232907184449
MIR6864,0.016811745143989698,0.016811745143989698
PAK6,0.01676014307604165,0.01676014307604165
AC005829.2,-0.01673842105230481,0.01673842105230481
AL590787.1,-0.016722245873626987,0.016722245873626987
KDM5D,-0.01662943277887597,0.01662943277887597
PSPHP1,0.016574743868764546,0.016574743868764546
AC073389.1,0.016476300621841758,0.016476300621841758
IL17RE,0.016473755745988406,0.016473755745988406
GATD3B,-0.01644367675079217,0.01644367675079217
GUSBP3,0.016395181764890562,0.016395181764890562
TXLNGY,-0.01639450214803654,0.01639450214803654
ZNF516-DT,0.016388185154650056,0.016388185154650056
AC079140.3,-0.016384191382781084,0.016384191382781084
AC008946.1,-0.01637113466590772,0.01637113466590772
AC104306.1,-0.016332840258336503,0.016332840258336503
AL121723.1,-0.016324440413282647,0.016324440413282647
AL356968.2,-0.016267406304057114,0.016267406304057114
TRBJ1-5,-0.01623971200151145,0.01623971200151145
AC103778.1,-0.016224363941059288,0.016224363941059288
PPP1R9A,0.01621399756834954,0.01621399756834954
DDX3Y,-0.016199758790136853,0.016199758790136853
SPESP1,0.01619633634682868,0.01619633634682868
AC087650.1,-0.01615318339890332,0.01615318339890332
AC026356.1,0.016093610067999094,0.016093610067999094
YTHDF2P1,-0.01603994620614583,0.01603994620614583
AC096915.1,-0.01600892599233666,0.01600892599233666
CD207,-0.015980865249471735,0.015980865249471735
AC067942.1,-0.015973305219319365,0.015973305219319365
AL139156.2,0.01594145576984292,0.01594145576984292
AP001160.4,0.015935131766851508,0.015935131766851508
AC015982.1,0.015929193879411913,0.015929193879411913
AC090058.1,-0.015921399069073847,0.015921399069073847
AL603839.3,-0.015908342737492802,0.015908342737492802
AC116651.1,0.015898841851133525,0.015898841851133525
SRY,-0.0158919098381249,0.0158919098381249
HM13-AS1,-0.015835774147896116,0.015835774147896116
GULP1,0.015828717473184418,0.015828717473184418
PABPC1P1,-0.015821725825810685,0.015821725825810685
VOPP1,0.01579601172627532,0.01579601172627532
FABP5P8,0.015789232092071486,0.015789232092071486
AP000892.3,-0.0157891824014881,0.0157891824014881
RNU6-476P,-0.015760497900980375,0.015760497900980375
CDH1,-0.01574276054033264,0.01574276054033264
AC012005.1,0.015723454307487447,0.015723454307487447
AL391001.1,0.0157201444432522,0.0157201444432522
AC131159.1,-0.01571339025075153,0.01571339025075153
TRMT9B,-0.015708439178279552,0.015708439178279552
AC112187.1,-0.01570169498685901,0.01570169498685901
RPS26P13,-0.015642289331215423,0.015642289331215423
MCTP1,0.015635036834770782,0.015635036834770782
RPL22P16,-0.015632659362582346,0.015632659362582346
AC004486.1,0.015626740288832798,0.015626740288832798
RNU4-39P,-0.015615613056652874,0.015615613056652874
MIR6747,-0.015597639290075042,0.015597639290075042
ZFY,-0.015589465138314995,0.015589465138314995
FTLP5,-0.015571049991281736,0.015571049991281736
EIF1AY,-0.015546529869667614,0.015546529869667614
USP9Y,-0.015523249225150564,0.015523249225150564
DAZAP2P1,-0.015521831631295965,0.015521831631295965
RPS26P2,-0.015493257182186882,0.015493257182186882
UTY,-0.015478152515901433,0.015478152515901433
CACNG5,-0.015477109511160317,0.015477109511160317
ARMC2,-0.015476556835579544,0.015476556835579544
CBLN4,0.015461356700515842,0.015461356700515842
AC090844.1,0.015426724426831512,0.015426724426831512
RPS7P3,-0.015418693716089752,0.015418693716089752
AC074085.2,-0.015416017020502845,0.015416017020502845
TCAIM,-0.015409862188418296,0.015409862188418296
AC090912.1,-0.015409681938704595,0.015409681938704595
AL356356.1,0.015392364284614213,0.015392364284614213
ARL4AP2,0.01539151478679903,0.01539151478679903
RNLS,0.015366448000444528,0.015366448000444528
FP565260.1,-0.015361801296476381,0.015361801296476381
AL139289.1,-0.01535865896598495,0.01535865896598495
RNU6-623P,0.015337643974634017,0.015337643974634017
SNORA14B,0.015324960199119404,0.015324960199119404
AL109741.2,-0.015317978031223903,0.015317978031223903
AC067863.2,0.015298869648987625,0.015298869648987625
SOWAHA,0.01529012383329416,0.01529012383329416
LINC01551,0.015275636630015793,0.015275636630015793
AC016394.1,0.015267124335071608,0.015267124335071608
AL139421.1,-0.015250293368158032,0.015250293368158032
RNU7-170P,-0.01524625006620293,0.01524625006620293
AC069271.1,0.015228981897184976,0.015228981897184976
AC091825.3,0.015228519776210677,0.015228519776210677
ELANE,0.01522472718623313,0.01522472718623313
TRBV28,-0.015218998261227799,0.015218998261227799
AP003721.3,0.015213928226800386,0.015213928226800386
EMX2,0.015201257762734297,0.015201257762734297
ALDH8A1,0.015186041842072793,0.015186041842072793
AL020997.3,-0.015182237627323224,0.015182237627323224
FUT1,0.015179196885886356,0.015179196885886356
AC009126.1,-0.01517867568071592,0.01517867568071592
CD163L1,0.015171250803383985,0.015171250803383985
NEK11,-0.015169422891144606,0.015169422891144606
CPM,-0.015137129785865967,0.015137129785865967
KIF25-AS1,-0.015133193750737808,0.015133193750737808
ALDOAP2,-0.015114873014891624,0.015114873014891624
ENTPD3,0.015097918027041005,0.015097918027041005
AL355355.2,-0.01507140113769765,0.01507140113769765
AC006033.1,-0.015058643572557075,0.015058643572557075
PAMR1,-0.015030577210543227,0.015030577210543227
AL954705.1,-0.015019091340492032,0.015019091340492032
AC036108.3,-0.015007043734458218,0.015007043734458218
MIR320D1,0.014987330679977295,0.014987330679977295
RNU7-151P,0.014976126426477334,0.014976126426477334
AP001266.2,0.014972896624057494,0.014972896624057494
AC098591.3,-0.014960935045858695,0.014960935045858695
RNA5SP37,0.0149577982882339,0.0149577982882339
FBLL1,-0.014953605205766156,0.014953605205766156
AL359233.1,-0.014951452014905801,0.014951452014905801
TRIM54,0.014933263298902072,0.014933263298902072
AC093270.1,-0.014923557908217583,0.014923557908217583
TCTEX1D1,-0.014888098965099046,0.014888098965099046
C12orf66,-0.014873389773508059,0.014873389773508059
GLIS1,-0.014870814108046053,0.014870814108046053
HTATIP2,-0.014870163270986121,0.014870163270986121
HMGN2P41,-0.014833559783323421,0.014833559783323421
AC007663.3,0.014831640327762623,0.014831640327762623
IL17B,0.014826201593043266,0.014826201593043266
AC012313.4,-0.014817017387020109,0.014817017387020109
AC068308.1,0.014759593440299448,0.014759593440299448
AC110998.1,-0.01475206786551126,0.01475206786551126
AC012150.1,-0.014749577603415099,0.014749577603415099
AC092447.9,-0.014739539787770902,0.014739539787770902
MMP12,-0.014738308099682972,0.014738308099682972
HNRNPA1P50,-0.01473242630147391,0.01473242630147391
MIR3605,-0.014725893814813453,0.014725893814813453
RASSF4,-0.014692553686796993,0.014692553686796993
MSANTD3,-0.014692050329237672,0.014692050329237672
SRP19,0.014690004858757913,0.014690004858757913
HSPE1P7,0.01468568774858648,0.01468568774858648
AL358075.2,-0.014661666750021951,0.014661666750021951
PCDHGA1,0.014658631504441154,0.014658631504441154
ALMS1-IT1,0.014657961665035812,0.014657961665035812
AGMAT,0.014637594240570047,0.014637594240570047
ZFP69,-0.01463575632516773,0.01463575632516773
GEMIN7,-0.01462736568093655,0.01462736568093655
MIR3153,-0.014615895689890933,0.014615895689890933
AC110611.2,0.014598563363697427,0.014598563363697427
AC090825.1,-0.014594449921152755,0.014594449921152755
FKBP14-AS1,0.01457892381577282,0.01457892381577282
MIR6165,0.014576190938986051,0.014576190938986051
GLUD1P2,0.01456991802922445,0.01456991802922445
MAP3K19,-0.01455890303236273,0.01455890303236273
AC015922.1,-0.014536551794247055,0.014536551794247055
PLGRKT,-0.014535986672939542,0.014535986672939542
PCDHA10,0.014533808167220311,0.014533808167220311
NTSR1,0.014508059909641874,0.014508059909641874
FAM209B,0.014507977099029673,0.014507977099029673
AL135844.1,-0.01447910752852109,0.01447910752852109
MMP13,-0.01446375976777901,0.01446375976777901
AL031289.1,-0.014451363936691393,0.014451363936691393
MIR548AN,0.01444415785682986,0.01444415785682986
MLF2,0.01443681642650748,0.01443681642650748
AC100854.1,0.014419704336541361,0.014419704336541361
AL592295.4,-0.014416298108081742,0.014416298108081742
RPL18AP16,-0.014403257697910477,0.014403257697910477
AC073325.2,0.014386552728810943,0.014386552728810943
ABHD5,-0.014372125800628237,0.014372125800628237
RNU6-388P,0.014364364186562506,0.014364364186562506
AL355309.1,-0.014362604426985254,0.014362604426985254
RPS4Y1,-0.014359483031183118,0.014359483031183118
METTL18,0.014357191343389713,0.014357191343389713
RGR,0.014350761664272883,0.014350761664272883
EEF1A1P33,-0.014345648396236074,0.014345648396236074
FGFR4,0.01433853544021227,0.01433853544021227
AC025034.1,-0.014316299243182928,0.014316299243182928
POMZP3,0.01428878923572878,0.01428878923572878
PCNPP1,0.014282455703952588,0.014282455703952588
RNU5B-4P,0.014277628449917496,0.014277628449917496
AC108059.1,-0.014271791988800504,0.014271791988800504
XIST,0.014268533794826095,0.014268533794826095
LRRC37A4P,0.014257697627272099,0.014257697627272099
TAS2R31,0.014250289638811208,0.014250289638811208
CTSF,-0.014236325457145258,0.014236325457145258
AC109322.2,0.014227875658349938,0.014227875658349938
LYPD5,-0.014226247708112136,0.014226247708112136
LINC01731,-0.014214925876397637,0.014214925876397637
CFAP157,-0.014188072263629907,0.014188072263629907
RPL12P8,-0.014187552451398877,0.014187552451398877
VXN,-0.014142252560582776,0.014142252560582776
AC098487.1,0.014137683667768393,0.014137683667768393
AL513217.1,0.014137533526523053,0.014137533526523053
AC023137.1,0.014121495521810452,0.014121495521810452
LEMD3,0.01411679892936183,0.01411679892936183
AL442663.3,0.014115283892055264,0.014115283892055264
AC008429.2,-0.01409565577601746,0.01409565577601746
SLBP,0.014093559652093841,0.014093559652093841
AC004069.1,-0.014089616327286456,0.014089616327286456
MTND4LP1,-0.01407674872480351,0.01407674872480351
MIR2116,0.01406936316571147,0.01406936316571147
C5orf63,-0.014059347811688758,0.014059347811688758
AL138921.2,0.014035918927156683,0.014035918927156683
KIF24,-0.014019521081797015,0.014019521081797015
MMD2,-0.014016810221154587,0.014016810221154587
CLSTN3,0.013987299489976374,0.013987299489976374
AL159169.1,-0.01398019742540474,0.01398019742540474
LINC00706,0.013979253388045523,0.013979253388045523
AC073263.1,0.013974034387701059,0.013974034387701059
AC023644.1,0.013970924258757263,0.013970924258757263
AC120349.1,0.013951615096199611,0.013951615096199611
GOLT1A,0.013946923994190546,0.013946923994190546
AL135910.1,-0.013946197155400372,0.013946197155400372
RPS3AP18,-0.013938991878286924,0.013938991878286924
AL365258.2,-0.013927050487061266,0.013927050487061266
NOMO3,0.013922699261722422,0.013922699261722422
PDE6G,-0.013846415536069153,0.013846415536069153
