Feature,Coefficient_full_dataset,Abs_Coefficient_full_dataset,Coefficient_filtered_dataset,Abs_Coefficient_filtered_dataset
MIR1302-8,-0.19808530224946222,0.19808530224946222,-0.0399687722723423,0.0399687722723423
RNU6-1337P,-0.1667477404240225,0.1667477404240225,-0.05781302721496254,0.05781302721496254
FAM90A1,0.1616505558443945,0.1616505558443945,0.05945576468374205,0.05945576468374205
LGI2,0.15895478642694352,0.15895478642694352,0.05141359241327965,0.05141359241327965
MIR4263,0.15838856397655782,0.15838856397655782,0.06362136994330762,0.06362136994330762
NRSN2-AS1,-0.15599401473649505,0.15599401473649505,-0.0738622800588918,0.0738622800588918
SEPTIN7P3,-0.15582784544382738,0.15582784544382738,-0.05687673960637125,0.05687673960637125
AC133041.1,-0.15228162305979484,0.15228162305979484,-0.0934900865289863,0.0934900865289863
AC073508.3,0.14768403118151768,0.14768403118151768,0.1010422503537969,0.1010422503537969
AL390755.3,-0.14605331423688064,0.14605331423688064,-0.058350580309168475,0.058350580309168475
EN1,-0.14387613274893665,0.14387613274893665,-0.030400897122195944,0.030400897122195944
LRRC61,0.143553787161322,0.143553787161322,0.039161790432540235,0.039161790432540235
PCDHB3,0.14255552498638283,0.14255552498638283,0.06354719396688945,0.06354719396688945
AC021188.1,-0.14135965208465429,0.14135965208465429,-0.0638746693247514,0.0638746693247514
FCN3,0.14041587728658758,0.14041587728658758,0.013569251091604038,0.013569251091604038
PCDHB12,0.13550531766403903,0.13550531766403903,0.06990816489123941,0.06990816489123941
ZNF268,0.13479132078694236,0.13479132078694236,0.052549694531771794,0.052549694531771794
AC012442.2,-0.1333294927255538,0.1333294927255538,-0.04563003699870169,0.04563003699870169
RNU7-154P,-0.13245762393945934,0.13245762393945934,-0.05907368561094337,0.05907368561094337
LTBP2,0.12742869077141572,0.12742869077141572,0.032018395994063295,0.032018395994063295
ETS2,0.1256469291093284,0.1256469291093284,0.05557854506053566,0.05557854506053566
LINC01686,0.1241090485174604,0.1241090485174604,0.021524912637933963,0.021524912637933963
AC002070.1,0.1239438780921185,0.1239438780921185,0.0687850238286602,0.0687850238286602
CCN3,0.12312508321203669,0.12312508321203669,0.02955668104875315,0.02955668104875315
PF4,-0.12240038360153221,0.12240038360153221,-0.031325764776882016,0.031325764776882016
SAYSD1,0.12232420960369447,0.12232420960369447,0.04906791546611777,0.04906791546611777
AC008525.1,0.122026304044072,0.122026304044072,0.051198763782028915,0.051198763782028915
