removed_cluster,cluster_tag,removed_n,n_kept,n_discarded,r2_without_cluster,penalised_score_without_cluster
-1,NOISE (-1),42,56,42,-0.6169406901977071,-0.8312264044834214
0,Cluster 0,5,93,5,-0.05708789528747364,-0.08259809936910627
1,Cluster 1,5,93,5,-0.06602773584468044,-0.09153793992631307
2,Cluster 2,6,92,6,-0.10556797563024886,-0.13618022052820802
3,Cluster 3,5,93,5,-0.06107986280192388,-0.0865900668835565
4,Cluster 4,6,92,6,-0.12097070107437809,-0.15158294597233724
5,Cluster 5,6,92,6,-0.020522303408618513,-0.051134548306577675
6,Cluster 6,14,84,14,-0.09551535587918872,-0.16694392730776017
7,Cluster 7,9,89,9,-0.03514053935107553,-0.0810589066980143
KEEP_ONLY_-1,Retain ONLY NOISE (-1),56,42,56,-0.6239837587837773,-0.909698044498063
