removed_cluster,cluster_tag,removed_n,n_kept,n_discarded,r2_without_cluster,penalised_score_without_cluster
-1,NOISE (-1),42,56,42,-0.4787503318862559,-0.6930360461719702
0,Cluster 0,5,93,5,0.006049619890692836,-0.019460584190939788
1,Cluster 1,5,93,5,-0.005539988430182529,-0.031050192511815157
2,Cluster 2,6,92,6,-0.1093221747318246,-0.13993441962978376
3,Cluster 3,5,93,5,0.09502011449749392,0.0695099104158613
4,Cluster 4,6,92,6,-0.05881818337739466,-0.08943042827535383
5,Cluster 5,6,92,6,0.08127289167576279,0.05066064677780363
6,Cluster 6,14,84,14,0.053546731666590006,-0.017881839761981447
7,Cluster 7,9,89,9,0.08514941042446815,0.03923104307752938
KEEP_ONLY_-1,Retain ONLY NOISE (-1),56,42,56,-0.2386576209603779,-0.5243719066746636
