removed_cluster,cluster_tag,removed_n,n_kept,n_discarded,r2_without_cluster,penalised_score_without_cluster
-1,NOISE (-1),42,56,42,-0.33989845733093527,-0.5541841716166496
0,Cluster 0,5,93,5,0.4398581654773127,0.4143479613956801
1,Cluster 1,5,93,5,0.3234451415122976,0.29793493743066496
2,Cluster 2,6,92,6,0.30569428631877094,0.2750820414208118
3,Cluster 3,5,93,5,0.5233407960809908,0.4978305919993582
4,Cluster 4,6,92,6,0.30627553460054824,0.2756632897025891
5,Cluster 5,6,92,6,0.44890744626837265,0.4182952013704135
6,Cluster 6,14,84,14,0.2622843163789031,0.19085574495033164
7,Cluster 7,9,89,9,0.368227432538961,0.32230906519202224
KEEP_ONLY_-1,Retain ONLY NOISE (-1),56,42,56,-0.3223225998480291,-0.6080368855623148
