Feature,Coefficient,Abs_Coefficient,Correlation_with_Target,Abs_Correlation
KCNG1,0.04744789369796404,0.04744789369796404,0.2791084527880851,0.2791084527880851
PCDHGB2,-0.044634831742227425,0.044634831742227425,-0.22227626097306713,0.22227626097306713
H2AW,0.04435351018369637,0.04435351018369637,0.23902291777769896,0.23902291777769896
CBLN4,0.039225410848723476,0.039225410848723476,0.21712185038977588,0.21712185038977588
LPL,-0.0381928696916864,0.0381928696916864,-0.18354992536650766,0.18354992536650766
RNU7-151P,-0.035548178578079064,0.035548178578079064,-0.20857297077247783,0.20857297077247783
COL22A1,-0.03381959184287082,0.03381959184287082,-0.20424132193529695,0.20424132193529695
AC024995.1,0.033289709351727356,0.033289709351727356,0.3335050603593277,0.3335050603593277
MT1P1,0.031800313742320244,0.031800313742320244,0.21175820822607958,0.21175820822607958
AC005034.4,0.031024800786537188,0.031024800786537188,0.18470164933577615,0.18470164933577615
GSTM1,-0.03102190058567631,0.03102190058567631,-0.17007652794289813,0.17007652794289813
ALKAL2,0.03007216298679477,0.03007216298679477,0.19828488656960325,0.19828488656960325
FABP4,-0.0293943235240445,0.0293943235240445,-0.2057644236665309,0.2057644236665309
AC005083.1,0.02817111495896259,0.02817111495896259,0.17201488607329138,0.17201488607329138
CCL4L2,-0.028090023775746313,0.028090023775746313,-0.30971245187246244,0.30971245187246244
AC253536.1,0.028053179727198355,0.028053179727198355,0.18165579962017836,0.18165579962017836
GPR27,0.027942833117196104,0.027942833117196104,0.19481910090383803,0.19481910090383803
MTATP8P1,0.026495029739180317,0.026495029739180317,0.21632898829788066,0.21632898829788066
RNA5SP243,0.026269927481266744,0.026269927481266744,0.1878128844215407,0.1878128844215407
AC026412.1,0.02572546809764734,0.02572546809764734,0.18576020945587843,0.18576020945587843
CKS1BP7,-0.025315451517466586,0.025315451517466586,-0.17466821258018503,0.17466821258018503
EYA1,-0.02526890055498312,0.02526890055498312,-0.32131243056480985,0.32131243056480985
NTNG1,-0.02520091697229857,0.02520091697229857,-0.2608194499318293,0.2608194499318293
TMPRSS9,0.025136305247475545,0.025136305247475545,0.1694347348459668,0.1694347348459668
GNS,-0.0248860257932931,0.0248860257932931,-0.2721853361660325,0.2721853361660325
H2BU1,0.024813399460010696,0.024813399460010696,0.2232973057919526,0.2232973057919526
SNORD91B,-0.0246084988283009,0.0246084988283009,-0.17131159540630891,0.17131159540630891
PPBP,-0.02450033683626211,0.02450033683626211,-0.20154787468768878,0.20154787468768878
H3C12,0.024248392480900716,0.024248392480900716,0.2162237248844979,0.2162237248844979
ADCY2,-0.0241978963468425,0.0241978963468425,-0.17323947667415918,0.17323947667415918
MIR8078,0.02419110775849762,0.02419110775849762,0.28977061129823956,0.28977061129823956
MIR6781,-0.023975726466235747,0.023975726466235747,-0.2929718936233444,0.2929718936233444
ANKRD1,-0.023721261737246892,0.023721261737246892,-0.25334744507071866,0.25334744507071866
