Feature,Coefficient,Importance
IRX1,-0.03880737800531293,0.03880737800531293
PCDHGB2,-0.033762291045577424,0.033762291045577424
CBLN4,0.03360606994731873,0.03360606994731873
AC074254.2,-0.03354595976312206,0.03354595976312206
KCNG1,0.03262966016005299,0.03262966016005299
COL22A1,-0.02852623144411705,0.02852623144411705
LPL,-0.027012331367610772,0.027012331367610772
C1QL4,-0.026935257076638547,0.026935257076638547
RNA5SP243,0.025572999764247425,0.025572999764247425
IL20RA,0.024869840350577217,0.024869840350577217
AC010970.1,-0.023805500567912363,0.023805500567912363
AC026412.1,0.02267374927040316,0.02267374927040316
ALKAL2,0.022328302406325672,0.022328302406325672
FABP4,-0.021964003955850627,0.021964003955850627
HGD,0.021917211036442154,0.021917211036442154
ANKRD1,-0.02118173849513938,0.02118173849513938
PCDHB12,-0.020958981913027447,0.020958981913027447
EYA1,-0.020579211587421598,0.020579211587421598
MTATP8P1,0.020025672489546946,0.020025672489546946
GSTM1,-0.019961513258964062,0.019961513258964062
LINC00672,-0.01934609152859123,0.01934609152859123
TMEM233,-0.01913174998881793,0.01913174998881793
RNU7-151P,-0.01903943633852596,0.01903943633852596
C1QL2,-0.018966765071721427,0.018966765071721427
GSTT2B,-0.018354419491988468,0.018354419491988468
RSPH4A,0.017902569475213733,0.017902569475213733
MIR5010,-0.01757128117756851,0.01757128117756851
AL606970.4,-0.01756686681668982,0.01756686681668982
GULP1,0.01734455880478712,0.01734455880478712
AC024995.1,0.017281425102414014,0.017281425102414014
XK,0.017279609711885167,0.017279609711885167
DTHD1,0.01715615299542056,0.01715615299542056
TWIST1,-0.017011360730385495,0.017011360730385495
CCL4L2,-0.01649976722008583,0.01649976722008583
SREBF1,-0.016063953696158585,0.016063953696158585
NTNG1,-0.016058371738619827,0.016058371738619827
F3,-0.015946558292285588,0.015946558292285588
AD000090.1,-0.015868825959447764,0.015868825959447764
SCARA3,-0.015757523681630376,0.015757523681630376
SHISA6,-0.015535482873192683,0.015535482873192683
EXO5,-0.015472880065047698,0.015472880065047698
POPDC3,-0.01543842592401618,0.01543842592401618
CCL3L3,-0.015423575409738087,0.015423575409738087
VSTM2L,-0.015373234274150615,0.015373234274150615
AC005034.4,0.015300109961773781,0.015300109961773781
CUTALP,-0.015063671088308873,0.015063671088308873
DDX25,-0.014998619161381628,0.014998619161381628
RN7SL4P,-0.014908411739511903,0.014908411739511903
MIR8078,0.014891211758514001,0.014891211758514001
DNAI3,0.014796292338549165,0.014796292338549165
LINC01831,0.014779435046322354,0.014779435046322354
SOX21,0.014677474922348195,0.014677474922348195
PODN,-0.014637993433737248,0.014637993433737248
MTCO2P12,0.014618918493287267,0.014618918493287267
ADAMTS16,-0.01449868131643842,0.01449868131643842
IGFBP6,-0.014484929696546186,0.014484929696546186
TSHZ2,-0.014473295843464969,0.014473295843464969
TMPRSS9,0.014299723433425608,0.014299723433425608
snoZ196,-0.014296903211244025,0.014296903211244025
RN7SL5P,-0.013983819713769396,0.013983819713769396
AL603839.2,-0.013941457739097126,0.013941457739097126
GGTLC4P,-0.013866900970600577,0.013866900970600577
IQCN,0.013815349525975108,0.013815349525975108
LUZP2,0.013813407136465748,0.013813407136465748
H2AW,0.01380059644992579,0.01380059644992579
PPBP,-0.01377254471980771,0.01377254471980771
CYP21A2,-0.01372218250695484,0.01372218250695484
NTN4,-0.013666617280791988,0.013666617280791988
PCAT6,-0.013542692823637962,0.013542692823637962
RNU6-216P,-0.01352073005727143,0.01352073005727143
MIR6781,-0.013461992063832272,0.013461992063832272
SIK1B,-0.013439260329124559,0.013439260329124559
AC100810.7,-0.013435072238343984,0.013435072238343984
CXCL2,-0.013421560516675179,0.013421560516675179
NHLH1,-0.013421205685019238,0.013421205685019238
RPL39L,-0.013408002255711482,0.013408002255711482
RND3,-0.013301634129351881,0.013301634129351881
CRTAC1,-0.013296973857780189,0.013296973857780189
